Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
36,tt2365776,2013-03-13,2013-03-13,,Sirocco,https://www.imdb.com/title/tt2365776/,short,5.4,14,2012,"Short, Drama",75,2012-06-23,Mikko Kuparinen,,
37,tt2124803,2013-03-17,2013-03-17,,How to Survive a Plague,https://www.imdb.com/title/tt2124803/,movie,7.6,110,2012,"Documentary, History, News",3295,2012-01-22,David France,,
38,tt0460542,2013-04-03,2013-04-03,,The Real Da Vinci Code,https://www.imdb.com/title/tt0460542/,tvSpecial,6.9,90,2005,Documentary,340,2005-02-03,Kashaf Chaudhry,,
39,tt1560747,2013-04-11,2013-04-11,,The Master,https://www.imdb.com/title/tt1560747/,movie,7.1,138,2012,Drama,120095,2012-09-01,Paul Thomas Anderson,,
40,tt2085002,2013-04-13,2013-04-13,,Äta sova dö,https://www.imdb.com/title/tt2085002/,movie,6.5,104,2012,Drama,1808,2012-09-02,Gabriela Pichler,,
41,tt2261629,2013-04-14,2013-04-14,,Hilton!,https://www.imdb.com/title/tt2261629/,movie,6.4,78,2013,"Documentary, Romance",197,2013-01-22,Virpi Suutari,,
42,tt0107086,2013-05-06,2013-05-06,,Hated: GG Allin & the Murder Junkies,https://www.imdb.com/title/tt0107086/,movie,7.3,52,1993,"Documentary, Biography, Music",2340,1993-08-13,Todd Phillips,10,2017-09-16
43,tt2101441,2013-05-20,2013-05-20,,Spring Breakers,https://www.imdb.com/title/tt2101441/,movie,5.3,94,2012,"Crime, Drama",118815,2012-09-05,Harmony Korine,,
44,tt1602613,2013-06-08,2013-06-08,,Only God Forgives,https://www.imdb.com/title/tt1602613/,movie,5.7,90,2013,"Crime, Drama",94229,2013-05-22,Nicolas Winding Refn,,
45,tt1707386,2013-06-10,2013-06-10,,Les Misérables,https://www.imdb.com/title/tt1707386/,movie,7.6,158,2012,"Drama, History, Musical, Romance, War",268804,2012-12-05,Tom Hooper,,
46,tt2066922,2013-06-14,2013-06-14,,Metsän tarina,https://www.imdb.com/title/tt2066922/,movie,7.0,75,2012,"Documentary, Family",274,2012-12-28,"Kim Saarniluoto, Ville Suhonen",,
47,tt2621714,2013-07-08,2013-07-08,,American Vagabond,https://www.imdb.com/title/tt2621714/,movie,6.8,85,2013,Documentary,132,2013-02-27,Susanna Helke,,
48,tt2243389,2013-07-25,2013-07-25,,Los amantes pasajeros,https://www.imdb.com/title/tt2243389/,movie,5.6,90,2013,Comedy,19091,2013-03-08,Pedro Almodóvar,,
49,tt0096257,2013-08-15,2013-08-15,,The Thin Blue Line,https://www.imdb.com/title/tt0096257/,movie,8.1,101,1988,"Documentary, Crime, Drama, Mystery",18280,1988-08-25,Errol Morris,,
50,tt1971514,2013-08-15,2013-08-15,,Salvo,https://www.imdb.com/title/tt1971514/,movie,6.0,110,2013,"Crime, Drama, Romance",986,2013-05-16,"Fabio Grassadonia, Antonio Piazza",,
51,tt1974212,2013-08-15,2013-08-15,,Aynehaye rooberoo,https://www.imdb.com/title/tt1974212/,movie,7.1,98,2011,Drama,362,2011-02-01,Negar Azarbayjani,,
52,tt2705574,2013-08-15,2013-08-15,,Mittsommernachtstango,https://www.imdb.com/title/tt2705574/,movie,7.2,84,2013,"Documentary, Music",113,2013-04-14,Viviane Blumenschein,,
53,tt2317102,2013-08-15,2013-08-15,,De wederopstanding van een klootzak,https://www.imdb.com/title/tt2317102/,movie,6.4,90,2013,Drama,502,2013-01-23,Guido van Driel,,
54,tt1531901,2013-08-15,2013-08-15,,Byzantium,https://www.imdb.com/title/tt1531901/,movie,6.5,118,2012,"Drama, Fantasy, Horror, Thriller",35751,2012-09-09,Neil Jordan,,
55,tt1854535,2013-08-15,2013-08-15,,Gaigimet,https://www.imdb.com/title/tt1854535/,movie,7.2,90,2012,"Comedy, Drama",467,2012-09-06,Rusudan Chkonia,,
56,tt2293138,2013-08-15,2013-08-15,,Vive la France,https://www.imdb.com/title/tt2293138/,movie,5.8,94,2013,Comedy,3061,2013-01-16,Michaël Youn,,
57,tt1674773,2013-08-15,2013-08-15,,Hannah Arendt,https://www.imdb.com/title/tt1674773/,movie,7.1,113,2012,"Biography, Drama",8643,2012-09-11,Margarethe von Trotta,,
58,tt1743993,2013-08-15,2013-08-15,,When the Lights Went Out,https://www.imdb.com/title/tt1743993/,movie,5.4,86,2012,Horror,4108,2012-01-31,Pat Holden,1,2013-08-27
59,tt2164718,2013-08-18,2013-08-18,,Rock Ba-Casba,https://www.imdb.com/title/tt2164718/,movie,6.6,93,2012,"Action, Drama, History, War",288,2012-07-07,Yariv Horowitz,,
60,tt2381951,2013-08-27,2013-08-27,,Kummisetäni thaimorsian,https://www.imdb.com/title/tt2381951/,movie,5.2,58,2012,"Documentary, Drama",46,2012-11-16,Wille Hyvönen,,
61,tt0068646,2013-08-28,2013-08-28,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1313424,1972-03-14,Francis Ford Coppola,,
62,tt2375605,2013-08-31,2013-08-31,,The Act of Killing,https://www.imdb.com/title/tt2375605/,movie,8.2,117,2012,"Documentary, Crime",28584,2012-08-31,"Joshua Oppenheimer, Christine Cynn, Anonymous",,
63,tt0109508,2013-08-31,2013-08-31,,Crumb,https://www.imdb.com/title/tt0109508/,movie,8.0,119,1994,"Documentary, Biography, Comedy",15661,1994-09-10,Terry Zwigoff,,
64,tt0157894,2013-08-31,2013-08-31,,The Killing of America,https://www.imdb.com/title/tt0157894/,movie,7.7,90,1981,"Documentary, Crime",1456,1981-09-05,"Leonard Schrader, Sheldon Renan",,
65,tt0342172,2013-09-01,2013-09-01,,Capturing the Friedmans,https://www.imdb.com/title/tt0342172/,movie,7.8,107,2003,"Documentary, Biography",21080,2003-01-17,Andrew Jarecki,,
66,tt0230591,2013-09-01,2013-09-01,,One Day in September,https://www.imdb.com/title/tt0230591/,movie,7.9,94,1999,"Documentary, History, Sport",5222,1999-10-22,Kevin Macdonald,,
67,tt0799954,2013-09-06,2013-09-06,,The Bridge,https://www.imdb.com/title/tt0799954/,movie,7.3,94,2006,"Documentary, Drama",10092,2006-04-27,Eric Steel,,
68,tt1704619,2013-09-06,2013-09-06,,Tabloid,https://www.imdb.com/title/tt1704619/,movie,7.1,87,2010,"Documentary, Crime",5791,2010-09-03,Errol Morris,,
69,tt1966604,2013-09-07,2013-09-07,,The Imposter,https://www.imdb.com/title/tt1966604/,movie,7.5,99,2012,"Documentary, Biography",39631,2012-01-23,Bart Layton,,
70,tt0063522,2013-09-15,2013-09-15,,Rosemary's Baby,https://www.imdb.com/title/tt0063522/,movie,8.0,137,1968,"Drama, Horror",156903,1968-06-12,Roman Polanski,10,2017-09-16
71,tt0052751,2013-09-15,2013-09-15,,Donald in Mathmagic Land,https://www.imdb.com/title/tt0052751/,short,7.9,27,1959,"Animation, Short, Comedy, Family, Fantasy",1798,1959-06-26,"Les Clark, Wolfgang Reitherman, Joshua Meador, Hamilton Luske",,
72,tt1733785,2013-09-16,2013-09-16,,Bron/Broen,https://www.imdb.com/title/tt1733785/,tvSeries,8.6,60,2011,"Crime, Mystery, Thriller",40615,2011-09-21,,,
73,tt0141842,2013-09-16,2013-09-16,,The Sopranos,https://www.imdb.com/title/tt0141842/,tvSeries,9.2,55,1999,"Crime, Drama",224093,1999-01-10,,,
74,tt1403214,2013-09-19,2013-09-19,,Paradies: Liebe,https://www.imdb.com/title/tt1403214/,movie,7.0,120,2012,Drama,7046,2012-05-18,Ulrich Seidl,,
